Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
0.6,0.13,24.0,4.0,4.9,0.3,4.5,1.91,0.01,1.6,35.0,29.6,0.0,1.9,1.0,68.0,1.6,50.0
1.0,0.17,17.7,3.0,12.4,0.6,11.7,1.97,0.02,0.8,122.0,29.6,0.0,1.95,0.0,69.0,0.6,95.0
1.3,0.23,9.6,15.0,16.1,0.5,15.5,2.09,0.06,0.8,68.0,28.8,0.0,2.02,4.0,77.0,0.8,69.0
1.6,0.24,15.2,19.0,12.6,0.2,12.4,2.13,0.08,0.8,18.0,29.3,0.0,2.04,7.0,75.0,0.7,38.0
1.4,0.2,14.2,8.0,11.6,0.1,11.5,2.16,0.1,0.8,186.0,29.5,0.0,2.06,4.0,73.0,0.4,153.0
1.3,0.28,6.5,22.0,16.8,0.8,15.9,2.2,0.09,1.2,145.0,28.5,0.0,2.11,8.0,80.0,0.5,153.0
1.5,0.36,8.3,29.0,23.1,3.0,20.1,2.24,0.12,0.5,350.0,28.8,0.0,2.12,10.0,81.0,0.1,211.0
1.9,0.51,8.0,34.0,29.3,7.8,21.5,2.33,0.18,0.9,95.0,29.0,0.0,2.15,10.0,80.0,1.0,75.0
2.2,0.49,19.8,31.0,22.7,5.1,17.5,2.22,0.15,1.1,134.0,30.3,0.0,2.06,11.0,78.0,0.7,72.0
2.9,0.48,50.3,41.0,20.4,3.0,17.4,2.25,0.18,1.1,1.0,32.1,0.0,2.08,20.0,73.0,0.4,305.0
4.1,0.42,74.4,44.0,12.8,1.1,11.7,2.11,0.07,1.7,230.0,32.9,0.0,2.04,21.0,67.0,1.1,285.0
3.4,0.37,80.6,40.0,9.1,0.6,8.5,2.1,0.06,2.7,276.0,33.5,0.0,2.04,18.0,65.0,2.2,277.0
3.4,0.4,93.1,58.0,8.2,0.4,7.8,2.16,0.07,2.5,248.0,33.4,0.0,2.09,36.0,70.0,2.2,255.0
3.0,0.36,94.6,61.0,7.5,0.2,7.2,2.15,0.05,1.8,286.0,32.6,0.0,2.1,32.0,74.0,1.9,282.0
2.7,0.33,87.1,62.0,6.8,0.2,6.5,2.11,0.04,2.7,234.0,31.9,0.0,2.06,28.0,75.0,2.0,255.0
2.4,0.32,74.8,52.0,6.8,0.3,6.5,2.11,0.05,1.9,183.0,31.2,0.0,2.06,28.0,76.0,1.9,239.0
1.4,0.27,30.3,9.0,10.9,0.5,10.4,1.98,0.05,1.4,71.0,29.0,0.5,1.93,1.0,79.0,0.9,128.0
1.2,0.34,30.6,13.0,14.1,0.3,13.7,2.06,0.07,1.2,55.0,28.3,0.0,2.0,8.0,85.0,1.0,64.0
1.0,0.34,28.5,16.0,12.6,0.1,12.4,2.06,0.07,1.5,39.0,28.0,0.0,1.99,10.0,83.0,1.4,62.0
1.1,0.36,23.5,14.0,13.3,0.2,13.1,2.06,0.09,0.9,73.0,28.2,0.0,1.98,5.0,82.0,1.0,69.0
1.2,0.32,23.8,13.0,11.8,0.2,11.5,2.12,0.1,0.8,45.0,28.4,0.0,2.02,6.0,82.0,0.6,51.0
1.5,0.39,19.7,20.0,17.8,0.3,17.4,2.27,0.18,1.3,52.0,28.4,0.0,2.09,9.0,83.0,1.1,52.0
1.3,0.36,19.1,19.0,16.1,0.2,15.8,2.27,0.16,2.1,43.0,28.1,0.0,2.12,11.0,84.0,1.3,47.0
1.2,0.18,30.3,27.0,7.7,0.3,7.4,1.97,0.04,3.3,29.0,28.0,0.0,1.93,5.0,84.0,3.0,31.0
1.1,0.18,29.8,35.0,4.4,0.2,4.2,1.99,0.05,2.0,23.0,27.8,0.0,1.94,5.0,84.0,1.9,33.0
1.2,0.24,16.4,21.0,14.4,0.7,13.6,2.04,0.07,1.2,30.0,27.9,0.0,1.97,4.0,83.0,0.8,68.0
1.3,0.2,18.8,23.0,13.7,0.7,12.9,2.04,0.07,3.5,35.0,27.7,0.5,1.98,4.0,82.0,2.2,32.0
0.8,0.13,35.7,14.0,4.1,0.5,3.6,1.89,0.01,3.6,31.0,26.9,0.0,1.88,4.0,85.0,3.2,32.0
0.8,0.15,36.7,16.0,4.2,0.4,3.8,1.91,0.01,3.9,34.0,26.3,0.0,1.9,2.0,85.0,3.2,37.0
0.8,0.15,35.8,23.0,4.2,0.6,3.6,1.93,0.01,3.5,45.0,26.3,0.0,1.92,4.0,86.0,2.9,37.0
0.9,0.16,36.1,20.0,4.9,0.6,4.2,1.92,0.02,4.6,37.0,26.3,0.0,1.9,4.0,85.0,3.9,35.0
0.7,0.16,40.1,28.0,4.3,0.7,3.6,1.92,0.02,5.5,39.0,26.3,0.0,1.9,5.0,83.0,4.5,36.0
1.0,0.17,40.5,32.0,4.6,0.9,3.7,1.93,0.02,4.1,32.0,27.2,0.0,1.91,8.0,81.0,4.0,32.0
1.1,0.18,37.8,36.0,5.3,1.0,4.3,1.94,0.03,3.2,29.0,28.2,0.0,1.91,8.0,81.0,2.9,32.0
1.2,0.19,34.8,23.0,5.8,0.9,4.9,1.94,0.04,3.6,40.0,29.2,0.0,1.9,7.0,78.0,2.7,33.0
1.1,0.18,41.0,30.0,5.2,0.8,4.3,1.94,0.03,4.7,32.0,28.8,0.0,1.91,10.0,78.0,4.0,32.0
1.1,0.18,44.0,28.0,5.1,0.9,4.2,1.93,0.02,5.8,31.0,28.2,0.0,1.91,10.0,76.0,4.7,33.0
1.2,0.19,45.0,31.0,4.5,0.8,3.6,1.94,0.02,5.3,27.0,27.7,0.0,1.92,8.0,78.0,4.2,31.0
1.1,0.19,44.9,29.0,4.4,0.8,3.6,1.94,0.03,7.3,24.0,27.2,0.0,1.91,6.0,79.0,5.3,29.0
